state_id,country_id,country_code,state_country_code,state_code,default_name,translations
"70","6","OM","OM","","Al Wusta","ar:الوسطى | en:Al Wusta"
"71","6","OM","OM","","Ash Sharqiyah","ar:الشرقية | en:Ash Sharqiyah"
"72","6","OM","OM","","Az Zahirah","ar:الزاهرة | en:Az Zahirah"
"73","6","OM","OM","","Masqat","ar:مسقط | en:Masqat"
"74","6","OM","OM","","Musandam","ar:مسندم | en:Musandam"
"75","3","QA","QA","","Um Sa'id","ar:أم سعيد | en:Um Sa'id"
"76","3","QA","QA","","Um Salal","ar:أم صلال | en:Um Salal"
"77","3","QA","QA","","Al Jumayliyah","ar:الجميلية | en:Al Jumayliyah"
"78","3","QA","QA","","Al Khawr","ar:الخور | en:Al Khawr"
"79","3","QA","QA","","Doha","ar:الدوحة | en:Doha"
"80","3","QA","QA","","Ar Rayyan","ar:الريان | en:Ar Rayyan"
"81","3","QA","QA","","Ash Shamal","ar:الشمال | en:Ash Shamal"
"82","3","QA","QA","","Al Ghuwariyah","ar:الغويرية | en:Al Ghuwariyah"
"83","3","QA","QA","","Al Wakrah","ar:الوكرة | en:Al Wakrah"
"84","3","QA","QA","","Jariyan Al Batnah","ar:جريان الباطنة | en:Jariyan Al Batnah"
"85","3","QA","QA","","Other Area","ar:مناطق أخرى | en:Other Area"
"97","1","KW","KW","KW-JA","","ar:الجهراء | en:Jahra"
"98","1","KW","KW","KW-CG","","ar:العاصمة | en:Capital Governorate"
"99","1","KW","KW","KW-FA","","ar:الفروانية | en:Farwaniya"
"100","1","KW","KW","KW-MAK","","ar:مبارك الكبير | en:Mubarak Al-Kabeer"
"101","1","KW","KW","KW-AH","","ar:الأحمدي | en:Ahmadi"
"102","1","KW","KW","KW-HAI","","ar:حولي | en:Hawalli"
"103","2","SA","SA","MAK","","ar:مكة المكرمة | en:Makkah"
"104","2","SA","SA","'AS","","ar:عسير | en:'Asir"
"105","2","SA","SA","الر","","ar:الرياض | en:الرياض"
"106","4","AE","AE","AZ","","ar:أبو ظبي | en:Abu Dhabi"
"107","4","AE","AE","AJ","","ar:عجمان | en:Ajman"
"108","4","AE","AE","DU","","ar:دبي | en:Dubai"
"109","4","AE","AE","FU","","ar:الفجيرة | en:Fujairah"
"110","4","AE","AE","RK","","ar:راس الخيمة | en:Ras al-Khaimah"
"111","4","AE","AE","SH","","ar:الشارقة | en:Sharjah"
"112","4","AE","AE","UQ","","ar:أم القيوين | en:Umm al-Quwain"
"113","4","AE","AE","ASH","","ar:الشرقية | en:Ash ShƒÅriqah"
